koktél ,fn ,"~ok, ~t, ~ja ",cocktail ,5
kóla ,fn ,"~’k, ~’t, ~’ja ",cola ,5
kolbász ,fn ,"~ok, ~t, ~a ",worst ,5
konzerv ,fn ,"~ek, ~et, ~e ",conservenblik ,5
konyha ,fn ,"~’k, ~’t, ~’ja ",keuken ,5
a magyar konyha ,,,de Hongaarse keuken ,
a konyhám ,,,mijn keuken ,
koriander ,fn ,"~ek, ~t, ~e ",koriander ,5
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,8
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
korsó ,fn ,"~k, ~t, ~ja ",bierpul ,5
egy korsó sör ,,,één pul bier ,
köret ,fn ,"~ek, ~et, ~e ",bijgerecht ,5
körte ,fn ,"~’k, ~’t, ~’je ",peer ,5
körülnéz ,i ,"~ni, ~ett, nézz körül ",rondkijken ,5
Csak körülnézek. ,,,Ik kijk alleen rond. ,
közhely (= klisé) ,fn ,"~ek, ~t, ~e ",cliché ,5
"Közhely, hogy a magyarok sok",,,"Het is een cliché, dat de Hongaren veel vlees eten. ",
húst esznek. ,,,,
krumpli (= burgonya) ,fn ,"~k, ~t, ~ja ",aardappel ,5
Egy kiló krumplit kérek. ,,,"Één kilo aardappelen, alstublieft. ",
kukorica ,fn ,"~’k, ~’t, ~’ja ",mais ,5
külön ,e ,,apart ,5
Külön fizetünk. ,,,Wij betalen apart. ,
különlegesség ,fn ,"~ek, ~et, ~e ",bijzonders ,5
lapostányér ,fn ,"~ok, ~t, ~ja ",plat bord ,5
lát vmit ,i ,"~ni, ~ott, láss ",iets zien ,5
Egy nagy házat látok. ,,,Ik zie een groot huis. ,
lecsó ,fn ,"~k, ~t, ~ja ",lecsó (van paprika en tomaten gekookt gerecht) ,5
lekvár ,fn ,"~ok, ~t, ~a ",jam ,5
leves ,fn ,"~ek, ~t, ~e ",soep ,5
lila ,mn ,"~'bb, ~'n ",lila ,5
lista ,fn ,"~’k, ~’t, ~’ja ",lijst ,5
Írok bevásárlólistát. ,,,Ik schrijf een boodschappenlijst. ,
liszt ,fn ,"~ek, ~et, ~je ","meel, bloem ",5
liter (l) ,fn ,"~ek, ~t, ~e ",liter ,5
luxus ,fn ,"~t, ~a ",luxe ,5
"Közel lakom a munkahelyemhez,",,,"Ik woon dichtbij bij mijn werk, dat is een grote luxe. ",
és ez nagy luxus. ,,,,
majdnem ,e ,,bijna ,5
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,9
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
Ebédre majdnem mindig van leves. ,,,Er is bijna altijd soep bij de lunch. ,
mák ,fn ,"~ok, ~ot, ~ja ",maanzaad ,5
málna ,fn ,"~'k, ~'t, ~'ja ",framboos ,5
marhahús ,fn ,"~ok, ~t, ~a ",rundvlees ,5
két kiló marhahús ,,,Twee kilo rundvlees ,
marhapörkölt ,fn ,"~ek, ~et, ~je ",soort van rund stoofpot ,5
megfelel ,i ,"~ni, ~t, felelj meg ",is het goed ,5
Megfelel a nadrág? ,,,Is de broek goed? ,
meggy ,fn ,"~ek, ~et, ~e ",morrel ,5
meleg ,mn ,"~ebb, ~en ",warm ,5
mélytányér ,fn ,"~ok, ~t, ~ja ",diep bord ,5
méz ,fn ,"~ek, ~et, ~e ",honing ,5
mindegy ,e ,,het maakt niets uit ,5
Nekem mindegy. ,,,Voor mij maakt het niets uit. ,
mos vmit ,i ,"~ni, ~ott, moss ",iets wassen ,5
Mosok néhány gyümölcsöt. ,,,Ik was een beetje fruit. ,
müzli ,fn ,"~k, ~t, ~je ",muesli ,5
nadrág ,fn ,"~ok, ~ot, ~ja ",broek ,5
narancs ,fn ,"~ok, ~ot, ~a ",sinaasappel ,5
narancslé ,fn ,"~levek, ~levet, ~leve ",sinaasappelsap ,5
narancssárga ,fn ,"~’k, ~’t, ~’ja ",oranje ,5
néz vmit ,i ,"~ni, ~ett, nézz ",iets kijken ,5
Filmet nézek. ,,,Ik kijk naar een film. ,
nyers ,mn ,"~ebb, ~en ","rauw, onrijp ",5
nyers gyümölcs ,,,Rauw fruit ,
nyitva tartás ,fn ,"~ok, ~t, ~a ",openingstijden ,5
őszibarack ,fn ,"~ok, ~ot, ~ja ",perzik ,5
ötlet ,fn ,"~ek, ~et, ~e ",idee ,5
Jó ötlet. ,,,Het is een goed idee. ,
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,10
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
palacsinta ,fn ,"~’k, ~’t, ~’ja ",pannenkoek ,5
Milyen palacsintát kér? ,,,Wat voor pannenkoek wilt u? ,
pálinka ,fn ,"~’k, ~’t, ~’ja ",soort van jenever ,5
paradicsom ,fn ,"~ok, ~ot, ~a ",tomaat ,5
paradicsomleves ,fn ,"~ek, ~t, ~e ",tomatensoep ,5
parancsol ,i ,"~ni, ~t, ~j ",alstublieft ,5
Mit parancsol? ,,,Wat wilt u bestellen? ,
pékáru ,fn ,"~k, ~t, ~ja ",broodjes assorti ,5
petrezselyem ,fn ,"petrezselymek,",peterselie ,5
,,"petrezselymet,",,
,,petrezselyme ,,
pincér ,fn ,"~ek, ~t, ~e ",ober ,5
piros ,mn ,"~abb, ~an ",rood ,5
pirospaprika ,fn ,"~’k, ~’t, ~’ja ",paprikapoeder ,5
pizza ,fn ,"~’k, ~’t, ~’ja ",pizza ,5
Egy pizzát szeretnék rendelni. ,,,Ik wil een pizza bestellen. ,
pizzéria ,fn ,"~’k, ~’t, ~’ja ",pizzeria ,5
pizsama ,fn ,"~’k, ~’t, ~’ja ",pyjama ,5
pogácsa ,fn ,"~’k, ~’t, ~’ja ",hartig broodje ,5
pohár ,fn ,"poharak, poharat, pohara ",glas ,5
egy pohár sör ,,,één glas bier ,
póló ,fn ,"~k, ~t, ~ja ",T-shirt ,5
pörkölt ,fn ,"~ök/~ek, ~öt/~et, ~je ",rund stoofpot ,5
próbafülke ,fn ,"~’k, ~’t, ~’je ",daskamer ,5
Ott van a próbafülke. ,,,Daar is de paskamer. ,
pulóver ,fn ,"~ek, ~t, ~(j)e ",trui ,5
rágó ,fn ,"~k, ~t, ~ja ",kauwgom ,5
rántott ,mn ,"~abb, ~an ",gepaneerd ,5
rántott hal ,,,gepaneerde vis ,
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,11
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
rántotta ,fn ,"~'k, ~'t, ~'ja ",omelet ,5
Rántottát eszem reggelire. ,,,Ik eet een omelet als ontbijt. ,
recept ,fn ,"~ek, ~et, ~je ",recept ,5
Tudok egy jó receptet. ,,,Ik weet een goed recept. ,
reggeli ,fn ,"~k, ~t, ~je ",ontbijt ,5
Mit eszel reggelire? ,,,Wat eet je als ontbijt? ,
